,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,dec
243,K2-151 b,1.0,3.835592,1.35,3.7331000000000003,3585.0,0.43,4.82,9.5012663
244,K2-152 b,1.0,32.6527,2.81,20.241770270270273,3940.0,0.63,4.66,-5.8274311
245,K2-153 b,1.0,7.51554,2.0,0.4453000000000001,3720.0,0.49,4.76,2.0208765
246,K2-154 b,1.0,3.67626,1.99,0.11,4097.0,0.63,4.65,-2.6696217
247,K2-154 c,1.0,7.95478,2.1,0.530064864864865,3978.0,0.65,4.64,-2.6696217
248,K2-155 b,1.0,6.34365,1.55,3.81255945945946,3919.0,0.53,4.73,21.3532633
249,K2-155 c,1.0,13.85,2.6,0.103,4258.0,0.58,4.6,21.3532633
250,K2-155 d,1.0,40.718,1.9,0.074,4258.0,0.58,4.6,21.3532633
251,K2-156 b,1.0,0.813149,1.144,0.711442972972973,4460.0,0.62,4.68,-6.2943552
252,K2-157 b,1.0,0.365261,1.0,0.4089513513513514,5456.0,0.88,4.5,-5.7820178
